date,unemployment_rate
2005-01,16.7
2005-02,17.6
2005-03,17.3
2005-04,17.3
2005-05,17.3
2005-06,17.6
2005-07,17.2
2005-08,16.7
2005-09,17.0
2005-10,16.8
2005-11,16.5
2005-12,16.7
2006-01,16.8
2006-02,16.4
2006-03,16.8
2006-04,15.2
2006-05,15.6
2006-06,15.6
2006-07,15.7
2006-08,16.0
2006-09,15.8
2006-10,16.2
2006-11,16.0
2006-12,15.9
2007-01,16.2
2007-02,15.6
2007-03,16.3
2007-04,17.0
2007-05,17.0
2007-06,16.9
2007-07,17.4
2007-08,16.8
2007-09,17.0
2007-10,16.9
2007-11,17.1
2007-12,16.8
2008-01,16.6
2008-02,17.0
2008-03,17.4
2008-04,15.2
2008-05,16.9
2008-06,18.1
2008-07,18.1
2008-08,18.4
2008-09,18.8
2008-10,19.9
2008-11,20.1
2008-12,21.8
2009-01,22.1
2009-02,22.5
2009-03,23.0
2009-04,24.2
2009-05,24.8
2009-06,23.6
2009-07,22.4
2009-08,22.6
2009-09,21.9
2009-10,22.1
2009-11,21.7
2009-12,21.9
2010-01,21.5
2010-02,21.7
2010-03,20.5
2010-04,19.9
2010-05,19.5
2010-06,19.4
2010-07,19.4
2010-08,19.6
2010-09,20.6
2010-10,18.5
2010-11,18.5
2010-12,18.7
2011-01,17.7
2011-02,16.5
2011-03,16.6
2011-04,17.1
2011-05,17.1
2011-06,17.4
2011-07,17.2
2011-08,16.7
2011-09,16.7
2011-10,14.8
2011-11,15.4
2011-12,15.0
2012-01,15.0
2012-02,15.2
2012-03,15.2
2012-04,15.6
2012-05,15.8
2012-06,15.3
2012-07,14.8
2012-08,15.1
2012-09,15.3
2012-10,15.8
2012-11,16.2
2012-12,16.7
2013-01,16.5
2013-02,16.3
2013-03,16.6
2013-04,16.5
2013-05,16.0
2013-06,16.3
2013-07,16.9
2013-08,16.7
2013-09,16.2
2013-10,17.6
2013-11,17.2
2013-12,16.3
2014-01,16.3
2014-02,16.7
2014-03,16.9
2014-04,17.4
2014-05,17.4
2014-06,17.5
2014-07,18.0
2014-08,18.3
2014-09,18.3
2014-10,18.5
2014-11,18.7
2014-12,18.9
2015-01,19.0
2015-02,19.0
2015-03,19.2
2015-04,18.5
2015-05,18.5
2015-06,18.7
2015-07,18.1
2015-08,18.2
2015-09,18.2
2015-10,18.3
2015-11,18.0
2015-12,17.5
2016-01,17.7
2016-02,18.0
2016-03,17.7
2016-04,18.6
2016-05,19.1
2016-06,19.1
2016-07,19.7
2016-08,19.6
2016-09,20.3
2016-10,20.8
2016-11,21.3
2016-12,22.2
2017-01,22.0
2017-02,21.4
2017-03,21.9
2017-04,21.4
2017-05,20.8
2017-06,20.9
2017-07,20.4
2017-08,20.5
2017-09,19.5
2017-10,19.2
2017-11,19.0
2017-12,18.2
2018-01,18.3
2018-02,18.6
2018-03,18.1
2018-04,18.4
2018-05,19.5
2018-06,19.3
2018-07,19.8
2018-08,19.6
2018-09,20.9
2018-10,22.0
2018-11,21.8
2018-12,24.6
2019-01,25.1
2019-02,25.2
2019-03,25.7
2019-04,25.4
2019-05,23.9
2019-06,25.6
2019-07,25.2
2019-08,27.0
2019-09,25.9
2019-10,25.1
2019-11,25.5
2019-12,23.7
2020-01,24.1
2020-02,23.4
2020-03,23.0
2020-04,24.3
2020-05,25.0
2020-06,24.7
2020-07,25.4
2020-08,24.5
2020-09,25.5
2020-10,24.9
2020-11,25.1
2020-12,25.9
2021-01,24.6
2021-02,26.3
2021-03,24.6
2021-04,25.1
2021-05,24.2
2021-06,21.2
2021-07,21.5
2021-08,22.2
2021-09,20.8
2021-10,19.8
2021-11,22.5
2021-12,21.1
2022-01,20.2
2022-02,20.4
2022-03,20.4
2022-04,19.7
2022-05,20.8
2022-06,19.6
2022-07,18.9
2022-08,18.6
2022-09,19.5
2022-10,21.5
2022-11,16.7
2022-12,19.3
2023-01,18.9
2023-02,19.0
2023-03,20.1
2023-04,18.6
2023-05,17.2
2023-06,17.5
2023-07,17.4
2023-08,16.4
2023-09,16.1
2023-10,16.3
2023-11,16.6
2023-12,15.6
2024-01,16.9
2024-02,16.0
2024-03,15.7
2024-04,14.6
2024-05,15.8
2024-06,18.2
2024-07,17.0
2024-08,15.8
2024-09,16.7
2024-10,16.4
2024-11,15.6
2024-12,15.8
2025-01,15.1
2025-02,15.3
2025-03,15.4
2025-04,15.8
2025-05,15.6
2025-06,16.2
2025-07,15.2
2025-08,15.9
2025-09,15.0
2025-10,15.6
